PHASE;SECTION;EPIC;REQUIREMENT NAME;ASSUMPTION;TASK TYPE;EC;BA;SA;BD;FD;CS;QA;CR;PM;Hrs;MD;COST
Refapp - Phase 1 Release;Data Feeds;Data Feeds;Order Status import;;Story;;;;4;;;1,6;0,2;1;54,4;6,8;54,4
Refapp - P1 Release Cigars.com;Data Feeds;Data Feeds;Order Status import;;Story;;;;4;;;1,6;0,2;1;54,4;6,8;54,4
Refapp - Phase 1 Release;Storefront Implementation;Non product pages ;Other static pages ;Privacy policy, shipping, Returns, terms and conditions;Story;;;;0,25;1;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;Non product pages ;Other static pages ;Assuming content will be similar to existing pages;Story;;;;0,25;1;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;Non product pages ;Other static pages ;Assuming content will be similar to existing pages;;;;;0,25;1;;0,5;0,0625;0,3125;17;2,125;
Refapp - Phase 1 Release;SEO;SEO;Page metadata;;Story;;;;0,5;;2;0,2;0,025;0,125;22,8;2,85;22,8
New Country;SEO;SEO;Page metadata;;Story;;;;;;1;;;;8;1;8
New Brand;SEO;SEO;Page metadata;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
New Language;SEO;SEO;Page metadata;;Story;;;;;;0,25;;;;2;0,25;2
Refapp - P1 Release Cigars.com;SEO;SEO;Page metadata;;Story;;;;0,5;;2;0,2;0,025;0,125;22,8;2,85;22,8
JRCigars;SEO;SEO;Page metadata;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
Seriouscigar;SEO;SEO;Page metadata;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
SantaClaraCigars;SEO;SEO;Page metadata;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
JRCigars;Backend Implementation;Integrations;Payment;Assume Paypal LINK Cartridge;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Seriouscigar;Backend Implementation;Integrations;Payment;Paypal - assuming integration with JR is completed first;;;;;0,5;;;0,2;0,025;0,125;6,8;0,85;6,8
Refapp - Phase 1 Release;Backend Integration;Backend Integration;Payment ;Cybersource;Story;;;;7;;;2,8;0,35;1,75;95,2;11,9;95,2
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Payment ;Assume Cybersource LINK cartridge;Story;;;;7;;;2,8;0,35;1,75;95,2;11,9;95,2
Refapp - Phase 1 Release;Backend Integration;Backend Integration;Payment - Paypal Express;Paypal;Story;;;;5;;;2;0,25;1,25;68;8,5;68
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Payment - Paypal Express;Assume Paypal LINK cartridge;Story;;;;0;;;;;;;;
Refapp - Phase 1 Release;Storefront Implementation;My Account ;Payment Methods ;Add/ Edit/ Delete/ Default;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Payment Methods ;Assuming standard Site Genesis template;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;Storefront Implementation;PDP;PDP - navigation ( prev/next );;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;PDP;PDP - navigation ( prev/next );;Story;;;;0;0;;;;;;;
Refapp - Phase 1 Release;Storefront Implementation;PDP;PDP - product details -other attributes;You might like(carousel), description, product details;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - P1 Release Cigars.com;Storefront Implementation;PDP;PDP - product details -other attributes;Assuming standard Site Genesis template;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - Phase 1 Release;Storefront Implementation;PDP;PDP - product details -product bundles;;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - P1 Release Cigars.com;Storefront Implementation;PDP;PDP - product details -product bundles;Assuming standard Site Genesis template;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - Phase 1 Release;Storefront Implementation;PDP;PDP - product details -product main attributes;Product name/images/pricing/variation/social media/availabilities/ add to cart/ add to wishlists etc;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - P1 Release Cigars.com;Storefront Implementation;PDP;PDP - product details -product main attributes;Assuming standard Site Genesis template;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
