PHASE;SECTION;EPIC;REQUIREMENT NAME;ASSUMPTION;TASK TYPE;EC;BA;SA;BD;FD;CS;QA;CR;PM;Hrs;MD;COST
Refapp - Phase 1 Release;Storefront Implementation;Non product pages ;404 pages;;Story;;;;0,25;1;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;Non product pages ;404 pages;Assuming content will be similar to existing pages;Story;;;;0,25;1;;0,5;0,0625;0,3125;17;2,125;17
JRCigars;Storefront Implementation;Non-Product Pages;About JR Cigars, EXpress order, Shipping information, FAQ, Return Policy, New Privacy Policy, Terms of use;Assuming content will be similar to existing pages;Story;;;;;5;;2;0,25;1,25;68;8,5;68
Seriouscigar;Storefront Implementation;Non product pages ;About serious cigars, Shipping information, Express order, return policy, Privacy policy, Age verification, Terms of Use, Your CA Privacy rights, About Ads;Assuming content will be similar to existing pages;;;;;;5;;2;0,25;1,25;68;8,5;68
Refapp - Phase 1 Release;Storefront Implementation;Non product pages ;About us ;;Story;;;;0,25;0,75;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;Non product pages ;About us ;Assuming content will be similar to existing pages;Story;;;;0,25;0,75;;0,4;0,05;0,25;13,6;1,7;13,6
JRCigars;Storefront Implementation;Homepage;Activate SMS notifications to receive latest deals;Assuming integration with existing SMS provider;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
New Country;Storefront Implementation;Storefront Implementation;Add Support for Default Locale;;Story;;;;3;3;;2,4;0,3;1,5;81,6;10,2;81,6
New Language;Storefront Implementation;Storefront Implementation;Add Support for new Locale;;Story;;;;3;4;;2,8;0,35;1,75;95,2;11,9;95,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Cart ;Add to Cart  ;Assuming standard Site Genesis template;;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
JRCigars;Storefront Implementation;Cart;Add to cart pop-up suggestions (Bonus Buy);Assume leveraging Recommendations functionality;Story;;;;0,5;1;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Address Verification;Assume integration with 3rd party verification service w/ documented API;;;;;1,5;;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - Phase 1 Release;Storefront Implementation;My Account ;Addresses;Add/ Edit/ Delete/ Default;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Addresses;Assuming standard Site Genesis template;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;Backend Integration;Backend Integration;Analytics and Reporting;GTM;Story;;;;4;;;1,6;0,2;1;54,4;6,8;54,4
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Analytics and Reporting;Assume OSF-licensed GTM cartridge;Story;;;;4;;;1,6;0,2;1;54,4;6,8;54,4
JRCigars;Backend Implementation;Integrations;Auctions ;Assume auction site will leverage partial components (header/footer/cart) built for rendering on 3rd party sites/apps;Story;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
JRCigars;Storefront Implementation;PDP;Back in stock & Back Order;Assume OSF-licensed BIS cartridge;Story;;;;1;2;;1,2;0,15;0,75;40,8;5,1;40,8
Seriouscigar;Backend Implementation;Backend Integrations;Back in Stock Notification;;;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
JRCigars;Storefront Implementation;Custom Pages;Beat the heat;Assuming content will be similar to existing page;Story;;;;0,25;1;;0,5;0,0625;0,3125;17;2,125;17
JRCigars;Backend Implementation;Integrations;Beat the heat;Assume app will leverage partial components (header/footer/cart) built for rendering in a Cordova web-container;Story;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
Seriouscigar;Backend Implementation;Backend Integrations;Best Cigars reviews on the category landing page. Maybe this should be in the PDP section;;;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
Seriouscigar;Storefront Implementation;Non product pages ;Blog >> link to Ron's corner (top menu);Assume display of content assets imported from CMS for display on blog page;;;;;;2;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Storefront Implementation;Search Results;Breadcrumb;Enhanced search suggestions, search result messages, refinements;Story;;;;1;1;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Search Results;Breadcrumb;Assuming standard Site Genesis template;Story;;;;1;1;;0,8;0,1;0,5;27,2;3,4;27,2
JRCigars;Storefront Implementation;Search?;Build a Sampler;Assume UI to create, BM snap-in to approve, and job to create catalog item;Story;;;;1;1;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Backend Integration;Backend Integration;Call Center;Customer Service Center;Story;;;1;3;;;1,2;0,15;1;50,8;6,35;50,8
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Call Center;Customer Service Center;Story;;;1;3;;;1,2;0,15;1;50,8;6,35;50,8
Refapp - Phase 1 Release;Storefront Implementation;Cart ;Cart - bonus products;;Story;;;;0,5;1;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - P1 Release Cigars.com;Storefront Implementation;Cart ;Cart - bonus products;Assuming standard Site Genesis template;Story;;;;0,5;1;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - Phase 1 Release;Storefront Implementation;Cart ;Cart - coupons;;Story;;;;1;0,25;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;Cart ;Cart - coupons;Assuming standard Site Genesis template;Story;;;;1;0,25;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Cart Abandonment;Assume OSF-licensed CAB Cartridge;;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - Phase 1 Release;Storefront Implementation;Cart ;Cart Order Summary ;;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;Cart ;Cart Order Summary ;Assuming standard Site Genesis template;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - Phase 1 Release;Storefront Implementation;Cart ;Cart Page;layout, pricing/ promotions;Story;;;;1;1,5;;1;0,125;0,625;34;4,25;34
Refapp - P1 Release Cigars.com;Storefront Implementation;Cart ;Cart Page;Assuming standard Site Genesis template;Story;;;;1;1,5;;1;0,125;0,625;34;4,25;34
Refapp - Phase 1 Release;Storefront Implementation;Cart ;Cart page- empty cart;;Story;;;;;0,5;;0,2;0,025;0,125;6,8;0,85;6,8
Refapp - P1 Release Cigars.com;Storefront Implementation;Cart ;Cart page- empty cart;Assuming standard Site Genesis template;Story;;;;;0,5;;0,2;0,025;0,125;6,8;0,85;6,8
Refapp - Phase 1 Release;Storefront Implementation;Cart ;Cart- recommendations;;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;Cart ;Cart- recommendations;Assuming standard Site Genesis template;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - Phase 1 Release;Data Feeds;Data Feeds;Catalog feed;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - P1 Release Cigars.com;Data Feeds;Data Feeds;Catalog feed;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Storefront Implementation;Category pages ;Category landing page;Content, refinement;Story;;;;1;1;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Category pages ;Category landing page;Assuming standard Site Genesis template;Story;;;;1;1;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Storefront Implementation;Global Navigation;Category navigation ;;Story;;;;0,5;1,5;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Global Navigation;Category navigation ;Assume content will be similar to existing site;Story;;;;0,5;1,5;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Storefront Implementation;Category pages ;Category results ;Product Grids, Templates, Refinemnt/ filters, Sort by;Story;;;;1;2;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - P1 Release Cigars.com;Storefront Implementation;Category pages ;Category results ;Assuming standard Site Genesis template;Story;;;;1;2;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - Phase 1 Release;Storefront Implementation;Category pages ;Category side bar navigation ;;Story;;;;;2;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Category pages ;Category side bar navigation ;Assuming standard Site Genesis template;Story;;;;;2;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Backend Integration;Backend Integration;CDN;DIS;Story;;;;3;;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;CDN;Assume DIS has documented API;Story;;;;3;;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - Phase 1 Release;Storefront Implementation;Checkout ;Checkout Billing address;;Story;;;;1;0,5;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - P1 Release Cigars.com;Storefront Implementation;Checkout ;Checkout Billing address;Assuming standard Site Genesis template;Story;;;;1;0,5;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - Phase 1 Release;Storefront Implementation;Checkout ;Checkout Billing Order Summary ;Sidebar;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;Checkout ;Checkout Billing Order Summary ;;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - Phase 1 Release;Storefront Implementation;Checkout ;Checkout Billing Payment method ;Credit/ Paypal/ Bill me later;Story;;;;0,75;0,5;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;Checkout ;Checkout Billing Payment method ;Assuming standard Site Genesis template;Story;;;;0,75;0,5;;0,5;0,0625;0,3125;17;2,125;17
Refapp - Phase 1 Release;Storefront Implementation;Checkout ;Checkout Gift options ;;Story;;;;;0,25;;0,1;0,0125;0,0625;3,4;0,425;3,4
Refapp - P1 Release Cigars.com;Storefront Implementation;Checkout ;Checkout Gift options ;;Story;;;;0,25;0,25;;0,2;0,025;0,125;6,8;0,85;6,8
Refapp - Phase 1 Release;Storefront Implementation;Checkout ;Checkout header/ footer;;Story;;;;0,25;0,5;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Checkout ;Checkout header/ footer;Assuming standard Site Genesis template;Story;;;;0,25;0,5;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - Phase 1 Release;Storefront Implementation;Checkout ;Checkout login ;Guests/ Creat account/ Returning customers;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;Checkout ;Checkout login ;Assuming standard Site Genesis template;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;Storefront Implementation;Checkout ;Checkout order summary;Order subtotal, Shipping/ Tax, Shipping discount, Order discount, Order total;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;Checkout ;Checkout order summary;Assuming standard Site Genesis template;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;Storefront Implementation;Checkout ;Checkout place order ;Order review;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;Checkout ;Checkout place order ;Assuming standard Site Genesis template;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;Storefront Implementation;Checkout ;Checkout receipt page;Order confirmation, Confirmation mail;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;Checkout ;Checkout receipt page;Assuming standard Site Genesis template;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;Storefront Implementation;Checkout ;Checkout Shipping address;;Story;;;;1;0,75;;0,7;0,0875;0,4375;23,8;2,975;23,8
Refapp - P1 Release Cigars.com;Storefront Implementation;Checkout ;Checkout Shipping address;Assuming standard Site Genesis template;Story;;;;1;0,75;;0,7;0,0875;0,4375;23,8;2,975;23,8
Refapp - Phase 1 Release;Storefront Implementation;Checkout ;Checkout shipping method ;;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;Checkout ;Checkout shipping method ;Assuming standard Site Genesis template;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;Storefront Implementation;Checkout ;Checkout Shipping Order summary ;Sidebar;Story;;;;0,25;0,75;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;Checkout ;Checkout Shipping Order summary ;Assuming standard Site Genesis template;Story;;;;0,25;0,75;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;Storefront Implementation;Checkout ;Chekout Billing Coupon code ;;Story;;;;0,5;0,25;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Checkout ;Chekout Billing Coupon code ;Assuming standard Site Genesis template;Story;;;;0,5;0,25;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - Phase 1 Release;Storefront Implementation;Checkout ;Chekout Billing gift certificate ;;Story;;;;0,5;0,25;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Checkout ;Chekout Billing gift certificate ;Assuming standard Site Genesis template;Story;;;;0;0;;;;;;;
JRCigars;Storefront Implementation;Gifts;Cigar of the month club;Monthly, yearly and 6-month subscriptions integrated with Customer record;Story;;;;1;1;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Backend Implementation;Backend Implementation;Cleanup jobs;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - P1 Release Cigars.com;Backend Implementation;Backend Implementation;Cleanup jobs;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Storefront Implementation;Compare Products;Compare functionality;Bucket,Products;Story;;;;2;2;;1,6;0,2;1;54,4;6,8;54,4
Refapp - P1 Release Cigars.com;Storefront Implementation;Compare Products;Compare functionality;;Story;;;;0;0;;;;;;;
Refapp - Phase 1 Release;Release;Release;Complete Demandware Launch Checklist;;Story;;;2;;;;;;2;32;4;32
New Brand;Release;Release;Complete Demandware Launch Checklist;;Story;0,25;;;;;;;;0,25;4;0,5;4
Refapp - P1 Release Cigars.com;Release;Release;Complete Demandware Launch Checklist;;Story;;;2;;;;;;2;32;4;32
JRCigars;Release;Release;Complete Demandware Launch Checklist;;Story;0,25;;;0,25;;;;;0,25;6;0,75;6
Seriouscigar;Release;Release;Complete Demandware Launch Checklist;;Story;0,25;;;0,25;;;;;0,25;6;0,75;6
SantaClaraCigars;Release;Release;Complete Demandware Launch Checklist;;Story;0,25;;;0,25;;;;;0,25;6;0,75;6
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Complete registration ;Assume tokenization with Cybersource;;;;;0,75;0,5;;0,5;0,0625;0,3125;17;2,125;17
New Country;Backend Implementation;Backend Implementation;Configure Backend Integrations;;Story;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
New Brand;Backend Implementation;Backend Implementation;Configure Backend Integrations;;Story;;;1;1,5;;;0,6;0,075;0,625;30,4;3,8;30,4
JRCigars;Backend Implementation;Backend Implementation;Configure Backend Integrations;;Story;;;1;1,5;;;0,6;0,075;0,625;30,4;3,8;30,4
Seriouscigar;Backend Implementation;Backend Implementation;Configure Backend Integrations;;Story;;;1;1,5;;;0,6;0,075;0,625;30,4;3,8;30,4
SantaClaraCigars;Backend Implementation;Backend Implementation;Configure Backend Integrations;;Story;;;1;1,5;;;0,6;0,075;0,625;30,4;3,8;30,4
Refapp - Phase 1 Release;SEO;SEO;Configure canonical links ;;Story;;;;0,5;;1,5;0,2;0,025;0,125;18,8;2,35;18,8
New Country;SEO;SEO;Configure canonical links ;;Story;;;;;;1;;;;8;1;8
New Brand;SEO;SEO;Configure canonical links ;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
New Language;SEO;SEO;Configure canonical links ;;Story;;;;;;0,25;;;;2;0,25;2
Refapp - P1 Release Cigars.com;SEO;SEO;Configure canonical links ;;Story;;;;0,5;;1,5;0,2;0,025;0,125;18,8;2,35;18,8
JRCigars;SEO;SEO;Configure canonical links ;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
Seriouscigar;SEO;SEO;Configure canonical links ;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
SantaClaraCigars;SEO;SEO;Configure canonical links ;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
New Country;Backend Implementation;Backend Implementation;Configure Catalog and pricebooks;;Story;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
New Brand;Backend Implementation;Backend Implementation;Configure Catalog and pricebooks;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
JRCigars;Backend Implementation;Backend Implementation;Configure Catalog and pricebooks;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Seriouscigar;Backend Implementation;Backend Implementation;Configure Catalog and pricebooks;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
SantaClaraCigars;Backend Implementation;Backend Implementation;Configure Catalog and pricebooks;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Backend Implementation;Backend Implementation;Configure Catalogs;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
New Language;Backend Implementation;Backend Implementation;Configure Catalogs;;Story;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Backend Implementation;Backend Implementation;Configure Catalogs;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Backend Implementation;Backend Implementation;Configure Demandware Site;;Story;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Backend Implementation;Backend Implementation;Configure Demandware Site;;Story;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
New Country;Backend Implementation;Backend Implementation;Configure Feeds;;Story;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
New Brand;Backend Implementation;Backend Implementation;Configure Feeds;;Story;;;;0,5;;;0,2;0,025;0,125;6,8;0,85;6,8
JRCigars;Backend Implementation;Backend Implementation;Configure Feeds;;Story;;;;0,5;;;0,2;0,025;0,125;6,8;0,85;6,8
Seriouscigar;Backend Implementation;Backend Implementation;Configure Feeds;;Story;;;;0,5;;;0,2;0,025;0,125;6,8;0,85;6,8
SantaClaraCigars;Backend Implementation;Backend Implementation;Configure Feeds;;Story;;;;0,5;;;0,2;0,025;0,125;6,8;0,85;6,8
Refapp - Phase 1 Release;Backend Implementation;Backend Implementation;Configure inventory lists;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - P1 Release Cigars.com;Backend Implementation;Backend Implementation;Configure inventory lists;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
New Language;Backend Implementation;Backend Implementation;Configure Locale;;Story;;;;0,5;;;0,2;0,025;0,125;6,8;0,85;6,8
New Country;Backend Implementation;Backend Implementation;Configure New Site;;Story;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
New Brand;Backend Implementation;Backend Implementation;Configure New Site;;Story;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
JRCigars;Backend Implementation;Backend Implementation;Configure New Site;;Story;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
Seriouscigar;Backend Implementation;Backend Implementation;Configure New Site;;Story;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
SantaClaraCigars;Backend Implementation;Backend Implementation;Configure New Site;;Story;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;Backend Implementation;Backend Implementation;Configure Price Books;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - P1 Release Cigars.com;Backend Implementation;Backend Implementation;Configure Price Books;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Backend Implementation;Backend Implementation;Configure Tax Table;;Story;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Backend Implementation;Backend Implementation;Configure Tax Table;;Story;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;Storefront Implementation;Non product pages ;Contact us page;;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;Non product pages ;Contact us page;Assuming content will be similar to existing pages;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - Phase 1 Release;Storefront Implementation;Homepage;Content;HTML, images, Carousel;Story;;;;;1,5;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - P1 Release Cigars.com;Storefront Implementation;Homepage;Content;Assume content will be similar to existing site;Story;;;;;1,5;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - Phase 1 Release;Storefront Implementation;Global Navigation;Content assets;Graphic/ HTML;Story;;;;;0,5;;0,2;0,025;0,125;6,8;0,85;6,8
Refapp - P1 Release Cigars.com;Storefront Implementation;Global Navigation;Content assets;Assume content will be similar to existing site;Story;;;;;0,5;;0,2;0,025;0,125;6,8;0,85;6,8
New Country;Storefront Implementation;Storefront Implementation;Content management ;;Story;;;;;3;;1,2;0,15;0,75;40,8;5,1;40,8
New Brand;Storefront Implementation;Storefront Implementation;Content management ;;Story;;;;;2;;0,8;0,1;0,5;27,2;3,4;27,2
New Language;Storefront Implementation;Storefront Implementation;Content management ;;Story;;;;;2;;0,8;0,1;0,5;27,2;3,4;27,2
JRCigars;Storefront Implementation;Storefront Implementation;Content management ;;Story;;;;;2;;0,8;0,1;0,5;27,2;3,4;27,2
Seriouscigar;Storefront Implementation;Storefront Implementation;Content management ;;Story;;;;;2;;0,8;0,1;0,5;27,2;3,4;27,2
SantaClaraCigars;Storefront Implementation;Storefront Implementation;Content management ;;Story;;;;;2;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Storefront Implementation;Header;Cookie policy;;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;Header;Cookie policy;Assume content will be similar to existing site;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;Storefront Implementation;Header;Country selector;country/language/currency;Story;;;;0,25;0,5;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Header;Country selector;;Story;;;;0;0;;;;;;;
Refapp - Phase 1 Release;Storefront Implementation;My Account ;Create account page;;Story;;;;0,5;1;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Create account page;Assuming standard Site Genesis template;Story;;;;0,5;1;;0,6;0,075;0,375;20,4;2,55;20,4
Discovery & Documentation;SPECS & CREATIVES;Documentation;Create Architecture Diagram - Ecosystem;;Story;;;1;;0,5;;;;0,375;15;1,875;15
Discovery & Documentation;SPECS & CREATIVES;Documentation;Create Architecture Diagram - SFCC;;Story;;;1;;0,5;;;;0,375;15;1,875;15
Discovery & Documentation;SPECS & CREATIVES;Documentation;Create Drop 1  FSD  (Global elements and Homepage);;Story;;4;;;;;;;1;40;5;40
Discovery & Documentation;SPECS & CREATIVES;Documentation;Create Drop 2  FSD  (CLP, PLP, Search, 404);;Story;;6;;;;;;;1,5;60;7,5;60
Discovery & Documentation;SPECS & CREATIVES;Documentation;Create Drop 3  FSD  ( PDP, quick view );;Story;;6;;;;;;;1,5;60;7,5;60
Discovery & Documentation;SPECS & CREATIVES;Documentation;Create Drop 4  FSD  (Checkout);;Story;;8;;;;;;;2;80;10;80
Discovery & Documentation;SPECS & CREATIVES;Documentation;Create Drop 5 FSD  (My account);;Story;;6;;;;;;;1,5;60;7,5;60
Discovery & Documentation;SPECS & CREATIVES;Documentation;Create Drop 6  FSD  (Customer service pages);;Story;;8;;;;;;;2;80;10;80
Refapp - Phase 1 Release;SEO;SEO;Create sitemap and robots file;;Story;;;;0,5;;1,5;0,2;0,025;0,125;18,8;2,35;18,8
New Country;SEO;SEO;Create sitemap and robots file;;Story;;;;;;0,5;;;;4;0,5;4
New Brand;SEO;SEO;Create sitemap and robots file;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
New Language;SEO;SEO;Create sitemap and robots file;;Story;;;;;;0,25;;;;2;0,25;2
Refapp - P1 Release Cigars.com;SEO;SEO;Create sitemap and robots file;;Story;;;;0,5;;1,5;0,2;0,025;0,125;18,8;2,35;18,8
JRCigars;SEO;SEO;Create sitemap and robots file;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
Seriouscigar;SEO;SEO;Create sitemap and robots file;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
SantaClaraCigars;SEO;SEO;Create sitemap and robots file;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
Discovery & Documentation;SPECS & CREATIVES;Documentation;Create TSD/ISD;;Story;1;1;10;;2;;;;3,5;140;17,5;140
Refapp - Phase 1 Release;Storefront Implementation;Global Elements;CSS Grid / Implement Style Guide / Framework Setup;;Story;;;;;5;;2;0,25;1,25;68;8,5;68
Refapp - P1 Release Cigars.com;Storefront Implementation;Global Elements;CSS Grid / Implement Style Guide / Framework Setup;;Story;;;;;5;;2;0,25;1,25;68;8,5;68
Refapp - P1 Release Cigars.com;Storefront Implementation;Non product pages ;Custom Pages;;Story;;;;0,5;2;;1;0,125;0,625;34;4,25;34
Refapp - P1 Release Cigars.com;Storefront Implementation;Non product pages ;Custom Pages;Assume shipping provider exposes APIs for tracking;;;;;0,5;2;;1;0,125;0,625;34;4,25;34
Refapp - Phase 1 Release;Storefront Implementation;Customer Service ;Customer service - left navigation ;Navigation links to Contact us, Privacy policy, Ordering, Shipping, Returns, My account, T&C;Story;;;;0,25;1;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;Customer Service ;Customer service - left navigation ;Assuming content will be similar to existing pages;Story;;;;0,25;1;;0,5;0,0625;0,3125;17;2,125;17
Refapp - Phase 1 Release;Storefront Implementation;Customer Service ;Customer service landing ;;Story;;;;0,25;1;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;Customer Service ;Customer service landing ;Assuming content will be similar to existing pages;Story;;;;0,25;1;;0,5;0,0625;0,3125;17;2,125;17
New Country;Backend Implementation;Backend Implementation;Customize Checkout to support country specific (address fields and validations);;Story;;;;1;0,5;;0,6;0,075;0,375;20,4;2,55;20,4
New Brand;Backend Implementation;Backend Implementation;Customize Checkout to support country specific (address fields and validations);;Story;;;;0,5;;;0,2;0,025;0,125;6,8;0,85;6,8
